,Title,Director,Actors,Rating,Income,Country,Duration,Type,Year
75,爱在日落黄昏时,J·麦基·格鲁伯,伊桑·霍克、朱莉·德尔佩、弗农·多布切夫,8.7,暂无,美国,80分钟, 剧情   爱情  ,2015-04-20
76,穿条纹睡衣的男孩,威廉·惠勒,阿沙·巴特菲尔德、维拉·法梅加、大卫·休里斯,9.0,暂无,"英国,美国",94分钟, 剧情   战争  ,2008-08-28
77,心灵捕手,昆汀·塔伦蒂诺,罗宾·威廉姆斯、马特·达蒙、明妮·德里弗,8.4,暂无,美国,126分钟, 剧情  ,1997-12-05
78,重庆森林,北野武,梁朝伟、王菲、金城武,8.6,暂无,中国香港,102分钟, 剧情   悬疑   爱情  ,1994-07-14
79,剪刀手爱德华,拉吉库马尔·希拉尼,约翰尼·德普、薇诺娜·瑞德、黛安娜·维斯特,8.8,暂无,美国,105分钟, 剧情   爱情   奇幻  ,1990-12-06
80,辩护人,延尚昊,宋康昊、郭度沅、吴达洙,8.8,暂无,韩国,127分钟, 剧情  ,2013-12-18
81,控方证人,延相昊,泰隆·鲍华、玛琳·黛德丽、查尔斯·劳顿,8.5,暂无,美国,116分钟, 剧情   悬疑   犯罪  ,1957-12-17
82,素媛,大卫·芬奇,李甄、薛耿求、严智苑,9.1,暂无,韩国,122分钟, 剧情  ,2013-10-02
83,波西米亚狂想曲,王家卫,拉米·马雷克、本·哈迪、约瑟夫•梅泽罗,9.4,9907,英国,134分钟, 剧情   音乐   传记  ,2019-03-22
84,时空恋旅人,刘伟强,瑞秋·麦克亚当斯、多姆纳尔·格里森、比尔·奈伊,8.9,暂无,英国,123分钟, 喜剧   爱情   奇幻  ,2013-09-04
85,断背山,麦兆辉,希斯·莱杰、杰克·吉伦哈尔、米歇尔·威廉姆斯,8.9,暂无,"美国,加拿大",134分钟, 剧情   爱情   家庭  ,2005-09-02
86,天空之城,理查德·林克莱特,寺田农、鹫尾真知子、龟山助清,9.0,暂无,日本,125分钟, 动画   奇幻   冒险  ,1992-05-01
87,入殓师,马克·赫尔曼,本木雅弘、广末凉子、山崎努,8.7,2289,日本,131分钟, 剧情  ,2021-10-29
88,十二怒汉,马克·鲁赫曼,亨利·方达、李·科布、马丁·鲍尔萨姆,9.1,暂无,美国,159分钟, 剧情   悬疑  ,1957-04-13
89,两杆大烟枪,格斯·范·桑特,杰森·弗莱明、德克斯特·弗莱彻、杰森•斯坦森,8.7,暂无,英国,107分钟, 惊悚   剧情   犯罪   喜剧  ,1998-08-28
90,蝙蝠侠：黑暗骑士,王家卫,克里斯蒂安·贝尔、希斯·莱杰、阿伦·伊克哈特,9.3,暂无,"美国,英国",152分钟, 剧情   动作   科幻   惊悚  ,2008-07-14
91,猫鼠游戏,蒂姆·波顿,莱昂纳多·迪卡普里奥、汤姆·汉克斯、克里斯托弗·沃肯,8.6,1200,"美国,加拿大",141分钟, 剧情   传记   犯罪  ,2003-04-11
92,血战钢锯岭,杨宇硕,安德鲁·加菲尔德、雨果·维文、卢克·布雷西,9.3,42582,"澳大利亚,美国",139分钟, 剧情   战争   历史   传记  ,2016-12-08
93,真爱至上,比利·怀德,休·格兰特、比尔·奈伊、连姆·尼森,8.6,暂无,"英国,美国,法国",135分钟, 剧情   喜剧   爱情  ,2003-11-21
94,奇迹男孩,李濬益,雅各布·特瑞布雷、朱莉娅·罗伯茨、欧文·威尔逊,9.2,19151,美国,113分钟, 剧情   家庭  ,2018-01-19
95,大鱼,李俊益,伊万·麦克格雷格、阿尔伯特·芬尼、杰西卡·兰格,8.6,暂无,美国,125分钟, 奇幻  ,2003-12-04
96,钢琴家,布莱恩·辛格,艾德里安·布洛迪、艾米莉娅·福克斯、米哈乌·热布罗夫斯基,8.9,暂无,"法国,德国,英国,波兰",150分钟, 剧情   音乐   传记   战争  ,2002-05-24
97,饮食男女,理查德·柯蒂斯,郎雄、吴倩莲、杨贵媚,8.8,暂无,"中国台湾,美国",124分钟, 剧情   家庭  ,1994-08-03
98,致命魔术,李安,休·杰克曼、克里斯蒂安·贝尔、迈克尔·凯恩,8.8,暂无,"美国,英国",130分钟, 剧情   悬疑   惊悚  ,2006-10-17
99,网络谜踪,宫崎骏,约翰·赵、米切尔·拉、黛博拉·梅辛,8.6,3049,美国,102分钟, 剧情   悬疑   犯罪  ,2018-12-14
100,模仿游戏,泷田洋二郎,本尼迪克特·康伯巴奇、凯拉·奈特莉、马修·古迪,9.3,5247,英国,114分钟, 剧情   战争   传记  ,2015-07-21
